Algorithm,Cost,Expanded Nodes,Frontier Nodes,Time elapsed,Heuristic
BFS,7,709,397,0.5866191387176514,
DFS,11,25,31,0.012014150619506836,
greedy,8,19,37,0.005984067916870117,remaining_colors_heuristic
astar,7,18,32,0.005984306335449219,remaining_colors_heuristic
BFS,7,511,166,0.33411478996276855,
DFS,8,15,26,0.0069773197174072266,
greedy,8,17,29,0.005983591079711914,remaining_colors_heuristic
astar,7,30,52,0.010970115661621094,remaining_colors_heuristic
BFS,9,2676,511,3.569182872772217,
DFS,11,26,30,0.016932249069213867,
greedy,9,62,109,0.025930404663085938,remaining_colors_heuristic
astar,9,145,237,0.09131836891174316,remaining_colors_heuristic
BFS,9,1702,632,2.3723106384277344,
DFS,11,35,21,0.015956878662109375,
greedy,9,36,63,0.019947290420532227,remaining_colors_heuristic
astar,9,185,214,0.12326550483703613,remaining_colors_heuristic
BFS,8,1908,580,4.2907328605651855,
DFS,11,25,31,0.029920578002929688,
greedy,8,24,54,0.010969400405883789,remaining_colors_heuristic
astar,8,139,174,0.11472105979919434,remaining_colors_heuristic
BFS,10,4862,1355,15.24274468421936,
DFS,11,26,30,0.023908615112304688,
greedy,10,33,57,0.01199197769165039,remaining_colors_heuristic
astar,10,455,602,0.48274922370910645,remaining_colors_heuristic
BFS,10,4420,465,12.090912580490112,
DFS,13,29,37,0.05684709548950195,
greedy,10,56,122,0.05171608924865723,remaining_colors_heuristic
astar,10,447,453,0.4775199890136719,remaining_colors_heuristic
BFS,9,4103,1489,12.743897199630737,
DFS,12,32,29,0.07579779624938965,
greedy,9,55,78,0.032910823822021484,remaining_colors_heuristic
astar,9,105,135,0.06881475448608398,remaining_colors_heuristic
BFS,7,708,347,0.7346818447113037,
DFS,8,18,23,0.010001897811889648,
greedy,7,11,25,0.006962299346923828,remaining_colors_heuristic
astar,7,78,133,0.06383061408996582,remaining_colors_heuristic
BFS,9,1919,705,3.2799625396728516,
DFS,11,28,28,0.017951488494873047,
greedy,9,51,77,0.027913808822631836,remaining_colors_heuristic
astar,9,140,224,0.10702824592590332,remaining_colors_heuristic
greedy,13,1059,934,1.260387897491455,color_fraction_heuristic
astar,9,5172,2168,26.116267204284668,color_fraction_heuristic
greedy,10,255,67,0.1495981216430664,bronson_distance_heuristic
astar,9,517,82,0.41588926315307617,bronson_distance_heuristic
greedy,9,732,189,0.657717227935791,bronson_distance_heuristic
astar,9,621,221,0.5328960418701172,bronson_distance_heuristic
greedy,9,760,599,0.9669420719146729,bronson_distance_heuristic
astar,9,745,639,1.035738229751587,bronson_distance_heuristic
greedy,7,896,348,1.0392420291900635,bronson_distance_heuristic
astar,7,827,385,0.8208017349243164,bronson_distance_heuristic
greedy,10,2805,690,5.670621156692505,bronson_distance_heuristic
astar,10,3291,1035,8.902879476547241,bronson_distance_heuristic
greedy,10,404,80,0.31513237953186035,bronson_distance_heuristic
astar,10,400,84,0.3097057342529297,bronson_distance_heuristic
greedy,9,2316,1355,6.634987831115723,bronson_distance_heuristic
astar,9,2767,1539,9.360961675643921,bronson_distance_heuristic
greedy,12,1570,348,2.010035991668701,bronson_distance_heuristic
astar,11,1835,378,2.612464189529419,bronson_distance_heuristic
greedy,10,1170,262,1.244013786315918,bronson_distance_heuristic
astar,10,1212,259,1.5402188301086426,bronson_distance_heuristic
greedy,8,186,125,0.11269974708557129,color_fraction_heuristic
astar,8,770,66,0.568464994430542,color_fraction_heuristic
greedy,8,373,330,0.2703077793121338,color_fraction_heuristic
astar,8,1249,671,1.6415684223175049,color_fraction_heuristic
greedy,9,610,444,0.5216009616851807,color_fraction_heuristic
astar,7,1153,486,1.374912977218628,color_fraction_heuristic
greedy,9,468,349,0.367018461227417,color_fraction_heuristic
astar,8,1548,327,1.7266559600830078,color_fraction_heuristic
greedy,7,259,231,0.17051959037780762,color_fraction_heuristic
astar,7,718,347,0.6161456108093262,color_fraction_heuristic
greedy,9,694,406,0.6334757804870605,color_fraction_heuristic
astar,8,1595,363,1.9373092651367188,color_fraction_heuristic
greedy,11,1340,1224,2.1149463653564453,color_fraction_heuristic
astar,10,7109,2974,35.89779305458069,color_fraction_heuristic
