Algorithm,Cost,Expanded Nodes,Frontier Nodes,Time elapsed,Heuristic
DFS,23,46,70,0.0428919792175293,
greedy,13,839,1493,1.564070463180542,remaining_colors_heuristic
astar,13,4749,7027,35.85609316825867,remaining_colors_heuristic
DFS,20,43,58,0.040915727615356445,
greedy,13,2548,4570,10.707048416137695,remaining_colors_heuristic
astar,13,8529,14141,141.17252039909363,remaining_colors_heuristic
DFS,19,43,53,0.032912492752075195,
greedy,14,2024,3729,6.918074607849121,remaining_colors_heuristic
astar,13,2680,4833,13.028643608093262,remaining_colors_heuristic
DFS,22,44,67,0.045877695083618164,
greedy,15,177,324,0.18652844429016113,remaining_colors_heuristic
astar,13,2881,5877,17.11631941795349,remaining_colors_heuristic
DFS,21,44,62,0.038924217224121094,
greedy,15,695,1451,1.199915885925293,remaining_colors_heuristic
astar,12,1477,2501,3.522042751312256,remaining_colors_heuristic
DFS,18,35,56,0.032912254333496094,
greedy,12,140,327,0.13563776016235352,remaining_colors_heuristic
astar,12,4432,7567,32.65501618385315,remaining_colors_heuristic
DFS,20,40,61,0.0379033088684082,
greedy,14,509,939,0.7774736881256104,remaining_colors_heuristic
astar,12,1782,2910,4.9396679401397705,remaining_colors_heuristic
DFS,23,50,66,0.03789854049682617,
greedy,14,8963,12189,118.55140209197998,remaining_colors_heuristic
astar,14,10876,15463,194.23618292808533,remaining_colors_heuristic
DFS,24,44,77,0.04986691474914551,
greedy,14,564,1148,0.8966286182403564,remaining_colors_heuristic
astar,11,881,1783,2.1047203540802,remaining_colors_heuristic
DFS,14,31,40,0.029920578002929688,
greedy,13,97,256,0.10074543952941895,remaining_colors_heuristic
astar,11,1056,2251,2.747313976287842,remaining_colors_heuristic
