Algorithm,Cost,Expanded Nodes,Frontier Nodes,Time elapsed,Heuristic
DFS,15,34,42,0.08676600456237793,
greedy,13,349,670,0.33011674880981445,remaining_colors_heuristic
astar,11,777,1249,1.0511865615844727,remaining_colors_heuristic
DFS,22,47,64,0.2154545783996582,
greedy,13,213,371,0.17054176330566406,remaining_colors_heuristic
astar,12,1319,2184,2.660876750946045,remaining_colors_heuristic
DFS,20,44,57,0.14461326599121094,
greedy,12,854,1442,1.2975001335144043,remaining_colors_heuristic
astar,12,1635,2645,3.9893240928649902,remaining_colors_heuristic
DFS,21,45,61,0.16813945770263672,
greedy,14,459,736,0.5368626117706299,remaining_colors_heuristic
astar,12,1016,1630,1.891446590423584,remaining_colors_heuristic
DFS,15,33,43,0.04847884178161621,
greedy,11,58,130,0.0328829288482666,remaining_colors_heuristic
astar,10,284,543,0.2620663642883301,remaining_colors_heuristic
DFS,18,39,52,0.12099671363830566,
greedy,12,425,741,0.47469115257263184,remaining_colors_heuristic
astar,12,2435,3537,9.090654850006104,remaining_colors_heuristic
DFS,17,38,48,0.06784915924072266,
greedy,12,243,448,0.22855281829833984,remaining_colors_heuristic
astar,12,798,1269,1.7682993412017822,remaining_colors_heuristic
DFS,17,41,45,0.09777021408081055,
greedy,13,330,632,0.3398263454437256,remaining_colors_heuristic
astar,11,755,1377,1.4029736518859863,remaining_colors_heuristic
DFS,19,46,50,0.2756962776184082,
greedy,14,464,969,0.6667201519012451,remaining_colors_heuristic
astar,13,3231,5154,33.205004930496216,remaining_colors_heuristic
DFS,13,33,33,0.021916866302490234,
greedy,11,296,513,0.26377201080322266,remaining_colors_heuristic
astar,10,341,599,0.3877713680267334,remaining_colors_heuristic
DFS,16,35,46,0.026955127716064453,
greedy,11,117,237,0.08879685401916504,remaining_colors_heuristic
astar,10,379,611,0.434553861618042,remaining_colors_heuristic
DFS,20,46,55,0.03490710258483887,
greedy,13,166,397,0.176527738571167,remaining_colors_heuristic
astar,11,552,964,0.9261777400970459,remaining_colors_heuristic
DFS,17,34,52,0.02991962432861328,
greedy,10,21,53,0.015990257263183594,remaining_colors_heuristic
astar,10,347,471,0.4688847064971924,remaining_colors_heuristic
DFS,15,33,43,0.024932146072387695,
greedy,12,10511,8314,145.3492395877838,color_fraction_heuristic
DFS,16,36,45,0.026958227157592773,
greedy,14,7347,4477,39.241114139556885,color_fraction_heuristic
DFS,17,36,50,0.03592824935913086,
greedy,12,11374,3457,74.97209048271179,bronson_distance_heuristic
DFS,18,39,52,0.027443408966064453,
greedy,11,12294,3300,61.16742563247681,bronson_distance_heuristic
DFS,17,44,42,0.027928829193115234,
greedy,13,17851,7490,222.78305745124817,bronson_distance_heuristic
greedy,13,1574,1308,2.6036338806152344,color_fraction_heuristic
greedy,12,1317,952,1.9350686073303223,color_fraction_heuristic
greedy,14,12190,10594,160.78705859184265,color_fraction_heuristic
greedy,14,3527,3397,15.006503582000732,color_fraction_heuristic
greedy,14,5160,4967,27.01382827758789,color_fraction_heuristic
greedy,12,2532,2767,9.783966541290283,color_fraction_heuristic
greedy,14,7660,5587,52.57405424118042,color_fraction_heuristic
greedy,12,4137,1576,14.323617696762085,bronson_distance_heuristic
greedy,12,15816,7469,270.99657559394836,bronson_distance_heuristic
greedy,13,14815,2070,76.9206018447876,bronson_distance_heuristic
greedy,11,8661,6027,80.87229609489441,bronson_distance_heuristic
greedy,12,10477,6391,115.34332990646362,bronson_distance_heuristic
greedy,12,16486,5640,169.6579566001892,bronson_distance_heuristic
