Algorithm,Cost,Expanded Nodes,Frontier Nodes,Time elapsed,Heuristic
DFS,30,60,91,0.07380318641662598,
greedy,16,1053,2392,4.516957521438599,remaining_colors_heuristic
astar,13,5525,11474,80.13930010795593,remaining_colors_heuristic
DFS,25,46,80,0.04790329933166504,
greedy,14,3122,5950,25.173357248306274,remaining_colors_heuristic
astar,13,9623,16581,210.0230357646942,remaining_colors_heuristic
DFS,29,55,91,0.06784272193908691,
greedy,17,689,1286,1.7339701652526855,remaining_colors_heuristic
DFS,25,55,71,0.06485438346862793,
greedy,13,3947,8080,42.30961346626282,remaining_colors_heuristic
astar,13,11811,23205,384.9350152015686,remaining_colors_heuristic
DFS,26,56,75,0.07280707359313965,
greedy,17,3921,7925,44.76160669326782,remaining_colors_heuristic
