Algorithm,Cost,Expanded Nodes,Frontier Nodes,Time elapsed,Heuristic
BFS,4,45,20,0.011972665786743164,
DFS,4,12,9,0.0029680728912353516,
greedy,4,5,16,0.0019943714141845703,remaining_colors_heuristic
astar,4,6,20,0.0009984970092773438,remaining_colors_heuristic
BFS,5,58,9,0.01495504379272461,
DFS,5,13,13,0.002969026565551758,
greedy,5,6,20,0.0019948482513427734,remaining_colors_heuristic
astar,5,31,36,0.009716510772705078,remaining_colors_heuristic
BFS,5,119,51,0.03593134880065918,
DFS,7,24,12,0.005982637405395508,
greedy,5,6,20,0.0009701251983642578,remaining_colors_heuristic
astar,5,8,22,0.0019659996032714844,remaining_colors_heuristic
BFS,4,53,37,0.014960527420043945,
DFS,5,14,12,0.003957033157348633,
greedy,4,5,16,0.0009982585906982422,remaining_colors_heuristic
astar,4,9,26,0.0019996166229248047,remaining_colors_heuristic
BFS,5,149,18,0.06180596351623535,
DFS,5,14,12,0.004980325698852539,
greedy,5,6,20,0.0019779205322265625,remaining_colors_heuristic
astar,5,18,38,0.006948232650756836,remaining_colors_heuristic
BFS,4,40,26,0.009972810745239258,
DFS,5,15,11,0.004004240036010742,
greedy,4,5,16,0.000982046127319336,remaining_colors_heuristic
astar,4,6,20,0.0009970664978027344,remaining_colors_heuristic
BFS,3,19,11,0.003987789154052734,
DFS,3,10,6,0.0029692649841308594,
greedy,3,4,12,0.001020669937133789,remaining_colors_heuristic
astar,3,8,22,0.0019953250885009766,remaining_colors_heuristic
BFS,6,180,10,0.05787205696105957,
DFS,6,18,13,0.004987478256225586,
greedy,6,11,25,0.0019669532775878906,remaining_colors_heuristic
astar,6,45,53,0.012963056564331055,remaining_colors_heuristic
BFS,5,126,24,0.03690028190612793,
DFS,5,14,12,0.0029706954956054688,
greedy,5,6,20,0.0020177364349365234,remaining_colors_heuristic
astar,5,7,24,0.0009980201721191406,remaining_colors_heuristic
BFS,4,39,16,0.009997367858886719,
DFS,5,14,12,0.0029675960540771484,
greedy,4,5,16,0.0020220279693603516,remaining_colors_heuristic
astar,4,12,26,0.0029921531677246094,remaining_colors_heuristic
greedy,5,43,23,0.011967897415161133,color_fraction_heuristic
astar,5,108,15,0.03390955924987793,color_fraction_heuristic
greedy,5,61,28,0.016977548599243164,color_fraction_heuristic
astar,5,82,23,0.02295398712158203,color_fraction_heuristic
greedy,4,39,17,0.010969877243041992,color_fraction_heuristic
astar,4,39,17,0.010947942733764648,color_fraction_heuristic
greedy,6,40,16,0.011945247650146484,color_fraction_heuristic
astar,6,115,9,0.0359036922454834,color_fraction_heuristic
greedy,5,69,44,0.021925687789916992,color_fraction_heuristic
astar,5,111,12,0.03297924995422363,color_fraction_heuristic
greedy,3,20,10,0.004993438720703125,color_fraction_heuristic
astar,3,20,10,0.005990028381347656,color_fraction_heuristic
greedy,6,113,45,0.03886914253234863,color_fraction_heuristic
astar,5,135,36,0.0468747615814209,color_fraction_heuristic
greedy,5,81,66,0.025701284408569336,color_fraction_heuristic
astar,5,107,62,0.032939910888671875,color_fraction_heuristic
greedy,5,44,22,0.01199650764465332,color_fraction_heuristic
astar,5,72,13,0.019946813583374023,color_fraction_heuristic
greedy,4,43,31,0.011963367462158203,color_fraction_heuristic
astar,4,61,38,0.019947528839111328,color_fraction_heuristic
greedy,5,79,18,0.024934768676757812,bronson_distance_heuristic
astar,5,74,23,0.02296614646911621,bronson_distance_heuristic
greedy,4,28,30,0.007979393005371094,bronson_distance_heuristic
astar,4,28,30,0.009010791778564453,bronson_distance_heuristic
greedy,5,83,49,0.028922080993652344,bronson_distance_heuristic
astar,5,74,49,0.024933815002441406,bronson_distance_heuristic
greedy,6,142,54,0.057276248931884766,bronson_distance_heuristic
astar,6,138,58,0.047870635986328125,bronson_distance_heuristic
greedy,6,123,20,0.04086136817932129,bronson_distance_heuristic
astar,6,123,20,0.03991270065307617,bronson_distance_heuristic
greedy,4,37,28,0.013963937759399414,bronson_distance_heuristic
astar,4,33,32,0.011968374252319336,bronson_distance_heuristic
greedy,3,18,15,0.005983591079711914,bronson_distance_heuristic
astar,3,18,15,0.005985260009765625,bronson_distance_heuristic
greedy,5,68,26,0.02094411849975586,bronson_distance_heuristic
astar,5,68,26,0.021941423416137695,bronson_distance_heuristic
greedy,4,30,14,0.008008718490600586,bronson_distance_heuristic
astar,4,30,14,0.0072596073150634766,bronson_distance_heuristic
greedy,7,200,49,0.07180929183959961,bronson_distance_heuristic
astar,7,197,52,0.06981611251831055,bronson_distance_heuristic
