Algorithm,Cost,Expanded Nodes,Frontier Nodes,Time elapsed,Heuristic
BFS,7,1096,207,0.7869160175323486,
DFS,10,24,27,0.009974241256713867,
greedy,7,8,28,0.003021717071533203,remaining_colors_heuristic
astar,7,91,148,0.0438840389251709,remaining_colors_heuristic
BFS,7,313,50,0.13666272163391113,
DFS,9,28,18,0.007977962493896484,
greedy,7,9,32,0.0019931793212890625,remaining_colors_heuristic
astar,7,104,122,0.04986858367919922,remaining_colors_heuristic
BFS,6,187,52,0.07679533958435059,
DFS,6,15,16,0.0060272216796875,
greedy,6,10,21,0.0029914379119873047,remaining_colors_heuristic
astar,6,47,57,0.019963741302490234,remaining_colors_heuristic
BFS,8,836,134,0.48396873474121094,
DFS,10,28,23,0.010970830917358398,
greedy,8,21,43,0.006957054138183594,remaining_colors_heuristic
astar,8,122,111,0.05690360069274902,remaining_colors_heuristic
BFS,6,189,27,0.07579731941223145,
DFS,7,15,21,0.004987239837646484,
greedy,6,8,23,0.0029931068420410156,remaining_colors_heuristic
astar,6,51,75,0.020971059799194336,remaining_colors_heuristic
BFS,8,762,143,0.5104548931121826,
DFS,8,22,19,0.009997129440307617,
greedy,8,13,47,0.003995656967163086,remaining_colors_heuristic
astar,8,150,188,0.07579755783081055,remaining_colors_heuristic
BFS,7,779,268,0.5136690139770508,
DFS,12,34,27,0.014959096908569336,
greedy,7,17,38,0.005982637405395508,remaining_colors_heuristic
astar,7,32,53,0.013963699340820312,remaining_colors_heuristic
BFS,6,210,37,0.10970830917358398,
DFS,7,23,13,0.006988048553466797,
greedy,6,7,24,0.0019943714141845703,remaining_colors_heuristic
astar,6,22,49,0.007010221481323242,remaining_colors_heuristic
BFS,8,928,364,0.9524564743041992,
DFS,9,25,21,0.010971307754516602,
greedy,8,23,37,0.006978750228881836,remaining_colors_heuristic
astar,8,50,77,0.018949270248413086,remaining_colors_heuristic
BFS,7,453,53,0.27945494651794434,
DFS,8,23,18,0.010969877243041992,
greedy,7,12,34,0.0039899349212646484,remaining_colors_heuristic
astar,7,102,103,0.046901702880859375,remaining_colors_heuristic
greedy,6,273,124,0.12765812873840332,color_fraction_heuristic
astar,6,273,124,0.12569260597229004,color_fraction_heuristic
greedy,8,514,43,0.2643167972564697,color_fraction_heuristic
astar,8,514,43,0.2711029052734375,color_fraction_heuristic
greedy,6,221,130,0.09873676300048828,color_fraction_heuristic
astar,6,221,130,0.09774971008300781,color_fraction_heuristic
greedy,7,503,166,0.2842388153076172,color_fraction_heuristic
astar,7,503,166,0.3066849708557129,color_fraction_heuristic
greedy,7,297,91,0.13062644004821777,color_fraction_heuristic
astar,7,297,91,0.12964630126953125,color_fraction_heuristic
greedy,7,324,37,0.1535658836364746,color_fraction_heuristic
astar,7,324,37,0.1553802490234375,color_fraction_heuristic
greedy,8,813,79,0.46332573890686035,color_fraction_heuristic
astar,8,813,79,0.5346808433532715,color_fraction_heuristic
greedy,6,184,13,0.10392189025878906,color_fraction_heuristic
astar,6,184,13,0.08078455924987793,color_fraction_heuristic
greedy,6,208,25,0.09973359107971191,color_fraction_heuristic
astar,6,208,25,0.11471676826477051,color_fraction_heuristic
greedy,6,171,22,0.11668729782104492,color_fraction_heuristic
astar,6,171,22,0.12466669082641602,color_fraction_heuristic
greedy,8,259,90,0.12616801261901855,bronson_distance_heuristic
astar,8,290,111,0.1601734161376953,bronson_distance_heuristic
greedy,7,174,38,0.07180953025817871,bronson_distance_heuristic
astar,7,163,49,0.07083320617675781,bronson_distance_heuristic
greedy,7,160,43,0.07080793380737305,bronson_distance_heuristic
astar,6,157,64,0.09275102615356445,bronson_distance_heuristic
greedy,9,274,48,0.13361382484436035,bronson_distance_heuristic
astar,9,297,66,0.14962363243103027,bronson_distance_heuristic
greedy,5,101,33,0.06283020973205566,bronson_distance_heuristic
astar,5,108,66,0.05186057090759277,bronson_distance_heuristic
greedy,9,480,114,0.26166677474975586,bronson_distance_heuristic
astar,9,594,76,0.3471369743347168,bronson_distance_heuristic
greedy,7,191,45,0.08117198944091797,bronson_distance_heuristic
astar,7,195,56,0.0850667953491211,bronson_distance_heuristic
greedy,8,249,34,0.11517667770385742,bronson_distance_heuristic
astar,7,275,87,0.13913702964782715,bronson_distance_heuristic
greedy,6,80,21,0.03490710258483887,bronson_distance_heuristic
astar,6,80,21,0.03490614891052246,bronson_distance_heuristic
greedy,9,151,24,0.06281685829162598,bronson_distance_heuristic
astar,9,152,23,0.061833858489990234,bronson_distance_heuristic
